Shwnl_OTUs_per_SpongeSpecies
Amphimedon erina,1
Axinella infundibuliformis,2
Callyspongia,3
Carteriospongia foliascens,3
Chalinula molitba,3
Cliona celata complex,3
Cliona delitrix,1
Crambe crambe,3
Dysidea etheria,2
Dysidea fragilis,1
Halichondria panicea,4
Ircinia oros,4
Ircinia variabilis,8
marine metagenome,15
marine sediment metagenome,5
Mycale laevis,1
Mycale lingua,1
Myxilla,2
Phakellia ventilabrum,1
Phorbas fictitius,3
Sarcotragus fasciculatus,5
Spheciospongia vagabunda,1
Stelletta aremaria,1
Stylissa carteri,1
