Group.1,Otu002008,Otu010136,Otu012209,Otu022365,Otu022486,Otu022498,Otu028583,Otu049884,Otu050252,Otu050260,Otu073593,Otu073627,Otu085558,Otu158011,Otu159252,Otu239571
1,Amphimedon erina,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2,Axinella infundibuliformis,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
3,Callyspongia,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0
4,Carteriospongia foliascens,0,0,0,17,0,0,0,0,0,1,0,0,0,0,0,10
5,Chalinula molitba,0,46,0,0,0,0,0,0,0,1,0,11,0,0,0,0
6,Cliona celata complex,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0
7,Cliona delitrix,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
8,Crambe crambe,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,2
9,Dysidea etheria,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
10,Dysidea fragilis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
11,Halichondria panicea,0,0,0,0,0,1,0,0,0,0,1,0,6,2,0,0
12,Ircinia oros,0,0,0,0,0,0,0,0,0,1,4,0,0,0,10,31
13,Ircinia variabilis,0,0,1,0,0,0,4,2,0,5,2,1,0,0,39,88
14,marine metagenome,230,14,7,9,29,198,1,7,101,8,168,13,14,37,66,0
15,marine sediment metagenome,133,0,85,9,0,0,0,0,1,1,0,0,0,0,0,0
16,Mycale laevis,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Mycale lingua,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
18,Myxilla,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
19,Phakellia ventilabrum,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
20,Phorbas fictitius,0,0,0,1,0,1,0,0,0,0,0,0,3,0,0,0
21,Sarcotragus fasciculatus,0,0,0,0,0,1,1,0,0,0,2,1,0,0,0,11
22,Spheciospongia vagabunda,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
23,Stelletta aremaria,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0
24,Stylissa carteri,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
